Course/Section,Section Title,Days Met,Start Time,End Time,Room,Instructor,Term,Status,Max Enrollment,Course Offering Id
MLSC 322/508 LAB,ADAPTIVE LDRSHIP II,R,3:30 PM,5:30 PM,MILS 316,Casper,202411 (CS Spring) - View Only,Scheduled,20,29030
MLSC 322/508 LEC,ADAPTIVE LDRSHIP II,TR,12:45 PM,2:00 PM,MILS 316,Casper,202411 (CS Spring) - View Only,Scheduled,20,29030
MLSC 422/501 LAB,THE ARMY OFFICER II,W,3:30 PM,5:30 PM,MILS 315,Cunningham,202411 (CS Spring) - View Only,Scheduled,30,11668
MLSC 422/501 LEC,THE ARMY OFFICER II,TR,9:35 AM,10:50 AM,MILS 315,Cunningham,202411 (CS Spring) - View Only,Scheduled,30,11668
MLSC 422/502 LAB,THE ARMY OFFICER II,W,3:30 PM,5:30 PM,MILS 315,Cunningham,202411 (CS Spring) - View Only,Scheduled,30,11669
MLSC 422/502 LEC,THE ARMY OFFICER II,TR,11:10 AM,12:25 PM,MILS 315,Cunningham,202411 (CS Spring) - View Only,Scheduled,30,11669
MLSC 422/503 LAB,THE ARMY OFFICER II,W,3:30 PM,5:30 PM,MILS 315,Cunningham,202411 (CS Spring) - View Only,Scheduled,30,11670
MLSC 422/503 LEC,THE ARMY OFFICER II,TR,12:45 PM,2:00 PM,MILS 315,Cunningham,202411 (CS Spring) - View Only,Scheduled,30,11670
MLSC 422/504 LAB,THE ARMY OFFICER II,R,3:30 PM,5:30 PM,MILS 315,Cunningham,202411 (CS Spring) - View Only,Scheduled,30,25114
MLSC 422/504 LEC,THE ARMY OFFICER II,TR,9:35 AM,10:50 AM,MILS 315,Cunningham,202411 (CS Spring) - View Only,Scheduled,30,25114
MLSC 422/505 LAB,THE ARMY OFFICER II,R,3:30 PM,5:30 PM,MILS 315,Cunningham,202411 (CS Spring) - View Only,Scheduled,30,25115
MLSC 422/505 LEC,THE ARMY OFFICER II,TR,11:10 AM,12:25 PM,MILS 315,Cunningham,202411 (CS Spring) - View Only,Scheduled,30,25115
MLSC 422/506 LAB,THE ARMY OFFICER II,R,3:30 PM,5:30 PM,MILS 315,Cunningham,202411 (CS Spring) - View Only,Scheduled,30,25116
MLSC 422/506 LEC,THE ARMY OFFICER II,TR,12:45 PM,2:00 PM,MILS 315,Cunningham,202411 (CS Spring) - View Only,Scheduled,30,25116
MLSC 485/500 INS,DIRECTED STUDIES,M,3:00 PM,5:30 PM,MILS 315,Cunningham,202411 (CS Spring) - View Only,Scheduled,30,12744
MLSC 485/501 INS,DIRECTED STUDIES:IN-AB,W,3:30 PM,5:30 PM,MILS 315,Cunningham,202411 (CS Spring) - View Only,Scheduled,10,25846
MLSC 485/503 INS,DIRECTED STUDIES,R,3:30 PM,5:30 PM,MILS 315,Cunningham,202411 (CS Spring) - View Only,Scheduled,40,29002
MMET 105/501 LAB,ENGINEERING GRAPHICS,W,8:20 AM,10:50 AM,CHEN 119,Whiteacre,202411 (CS Spring) - View Only,Scheduled,33,30336
MMET 105/501 LEC,ENGINEERING GRAPHICS,T,8:00 AM,9:15 AM,ZACH 442,Whiteacre,202411 (CS Spring) - View Only,Scheduled,33,30336
MMET 105/502 LAB,ENGINEERING GRAPHICS,W,4:00 PM,6:30 PM,RICH 302,Whiteacre,202411 (CS Spring) - View Only,Scheduled,33,30337
MMET 105/502 LEC,ENGINEERING GRAPHICS,T,8:00 AM,9:15 AM,ZACH 442,Whiteacre,202411 (CS Spring) - View Only,Scheduled,33,30337
MMET 105/503 LAB,ENGINEERING GRAPHICS,R,12:45 PM,3:15 PM,BLOC 129,Whiteacre,202411 (CS Spring) - View Only,Scheduled,30,30338
MMET 105/503 LEC,ENGINEERING GRAPHICS,T,8:00 AM,9:15 AM,ZACH 442,Whiteacre,202411 (CS Spring) - View Only,Scheduled,30,30338
MMET 181/501 LAB,MANUF & ASSEM PROC I,,,,,Pereira Coelho,202411 (CS Spring) - View Only,Incomplete,0,24072
